Name,Quantity,Supplier,Supplier Part,Price (€),Link
1kΩ,8,JLCPCB,C21190,0.01,https://www.lcsc.com/product-detail/C22548.html?spm=wm.gwc.xh.24.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
220Ω,4,JLCPCB,C22962,0.01,https://www.lcsc.com/product-detail/C22962.html?spm=wm.gwc.xh.7.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
10kΩ,9,JLCPCB,C98220,0.01,https://www.lcsc.com/product-detail/C98220.html?spm=wm.gwc.xh.22.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
4.7kΩ,4,JLCPCB,C23162,0.01,https://www.lcsc.com/product-detail/C23162.html?spm=wm.gwc.xh.6.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
R-RJ45R08P-2006,1,JLCPCB,C386761,0.74,https://www.lcsc.com/product-detail/C386761.html?spm=wm.gwc.xh.5.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
SN65HVD230DR,1,JLCPCB,C12084,0.80,https://www.lcsc.com/product-detail/C12084.html?spm=wm.gwc.xh.4.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
MP2359DJ-LF-Z-MS,1,JLCPCB,C30197555,0.16,https://www.lcsc.com/product-detail/C30197555.html?spm=wm.gwc.xh.3.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
ULN2803AD,1,JLCPCB,C481684,0.47,https://www.lcsc.com/product-detail/C481684.html?spm=wm.gwc.xh.2.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
PC817X2NSZW,8,JLCPCB,C5350,0.53,https://www.lcsc.com/product-detail/C5350.html?spm=wm.gwc.xh.1.tp___wm.sy.ssl.gwc&lcsc_vid=QAdWVgFVRQAMBlxWQFleVFcCRABaVVdfQgMPXl1WFAMxVlNRQVRfVlxeR1lcVzsOAxUeFF5JWBEPFBcWGBMaSQgFBAJABAsLWA%3D%3D
ESP32-WROOM-32,1,External,N/A,N/A,https://s.click.aliexpress.com/e/_c33YIbZh
1x15 Female Header,2,External,N/A,N/A,https://s.click.aliexpress.com/e/_c3BR8T2b
