Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"P2"	"CONN-TH_2P-P5.00_WJ301V-5.00-3P"	"141mm"	"5mm"	"141mm"	"5mm"	"135.99mm"	"5mm"	"T"	"0"	"WJ301V-5.0-3P"
"P3"	"CONN-TH_2P-P5.00_WJ301V-5.00-3P"	"123mm"	"5mm"	"123mm"	"5mm"	"117.99mm"	"5mm"	"T"	"0"	"WJ301V-5.0-3P"
"P4"	"CONN-TH_2P-P5.00_WJ301V-5.00-3P"	"105mm"	"5mm"	"105mm"	"5mm"	"99.99mm"	"5mm"	"T"	"0"	"WJ301V-5.0-3P"
"P5"	"CONN-TH_2P-P5.00_WJ301V-5.00-3P"	"87mm"	"5mm"	"87mm"	"5mm"	"81.99mm"	"5mm"	"T"	"0"	"WJ301V-5.0-3P"
"P6"	"CONN-TH_2P-P5.00_WJ301V-5.00-2P"	"150mm"	"62mm"	"150mm"	"62mm"	"150mm"	"59.5mm"	"T"	"90"	"WJ301V-5.0-2P"
"P7"	"CONN-TH_2P-P5.00_WJ301V-5.00-2P"	"150mm"	"50mm"	"150mm"	"50mm"	"150mm"	"47.5mm"	"T"	"90"	"WJ301V-5.0-2P"
"P8"	"CONN-TH_2P-P5.00_WJ301V-5.00-2P"	"150mm"	"37mm"	"150mm"	"37mm"	"150mm"	"34.5mm"	"T"	"90"	"WJ301V-5.0-2P"
"R1"	"R0805"	"37.85mm"	"13.59mm"	"37.85mm"	"13.59mm"	"36.85mm"	"13.59mm"	"T"	"0"	"10kΩ"
"R2"	"R0603"	"25.02mm"	"26.67mm"	"25.02mm"	"26.67mm"	"25.02mm"	"27.42mm"	"T"	"270"	"120Ω"
"R3"	"R0402"	"15.24mm"	"62.61mm"	"15.24mm"	"62.61mm"	"14.81mm"	"62.61mm"	"T"	"0"	"100kΩ"
"R4"	"R0603"	"22.61mm"	"63.12mm"	"22.61mm"	"63.12mm"	"22.61mm"	"62.37mm"	"T"	"90"	"9.53kΩ"
"R5"	"R0603"	"25.65mm"	"61.34mm"	"25.65mm"	"61.34mm"	"24.9mm"	"61.34mm"	"T"	"0"	"49.9kΩ"
"R6"	"R0603"	"11.56mm"	"54.23mm"	"11.56mm"	"54.23mm"	"11.56mm"	"53.48mm"	"T"	"90"	"1kΩ"
"R7"	"R0603"	"42mm"	"4mm"	"42mm"	"4mm"	"42mm"	"3.25mm"	"T"	"90"	"1kΩ"
"R8"	"R0603"	"39mm"	"31.38mm"	"39mm"	"31.38mm"	"39mm"	"30.63mm"	"T"	"90"	"1kΩ"
"R9"	"R0603"	"35mm"	"31.38mm"	"35mm"	"31.38mm"	"35mm"	"30.63mm"	"T"	"90"	"1kΩ"
"R10"	"R0603"	"83.87mm"	"54.42mm"	"83.87mm"	"54.42mm"	"83.12mm"	"54.42mm"	"T"	"0"	"1kΩ"
"R11"	"R0603"	"83.87mm"	"47.42mm"	"83.87mm"	"47.42mm"	"83.12mm"	"47.42mm"	"T"	"0"	"1kΩ"
"R12"	"R0603"	"83.87mm"	"40.42mm"	"83.87mm"	"40.42mm"	"83.12mm"	"40.42mm"	"T"	"0"	"1kΩ"
"R13"	"R0603"	"83.87mm"	"33.42mm"	"83.87mm"	"33.42mm"	"83.12mm"	"33.42mm"	"T"	"0"	"1kΩ"
"R14"	"R0603"	"87.87mm"	"56.67mm"	"87.87mm"	"56.67mm"	"87.12mm"	"56.67mm"	"T"	"0"	"220Ω"
"R15"	"R0603"	"123mm"	"47mm"	"123mm"	"47mm"	"122.25mm"	"47mm"	"T"	"0"	"10kΩ"
"R16"	"R0603"	"123mm"	"48.75mm"	"123mm"	"48.75mm"	"123.75mm"	"48.75mm"	"T"	"180"	"10kΩ"
"R17"	"R0603"	"123mm"	"50.5mm"	"123mm"	"50.5mm"	"122.25mm"	"50.5mm"	"T"	"0"	"10kΩ"
"R18"	"R0603"	"123mm"	"52.25mm"	"123mm"	"52.25mm"	"122.25mm"	"52.25mm"	"T"	"0"	"10kΩ"
